year,technology,value,scenario
2016,battery_gen,0,e3
2017,battery_gen,0,e3
2018,battery_gen,0,e3
2019,battery_gen,0,e3
2020,battery_gen,0,e3
2021,battery_gen,0,e3
2022,battery_gen,451286.55,e3
2023,battery_gen,457336.83,e3
2024,battery_gen,445286.73,e3
2025,battery_gen,575861.89,e3
2026,battery_gen,585604.08,e3
2027,battery_gen,590984.08,e3
2028,battery_gen,595798.33,e3
2029,battery_gen,596602.87,e3
2030,battery_gen,665712.71,e3
2031,battery_gen,674461.02,e3
2032,battery_gen,687206.5,e3
2033,battery_gen,690728.69,e3
2034,battery_gen,700069.49,e3
2035,battery_gen,758661.01,e3
2036,battery_gen,788996.93,e3
2037,battery_gen,800571.19,e3
2038,battery_gen,838739.18,e3
2039,battery_gen,847844.07,e3
2040,battery_gen,1177512.1,e3
2041,battery_gen,1239752.83,e3
2042,battery_gen,1210777.19,e3
2043,battery_gen,1233890.25,e3
2044,battery_gen,1257836.31,e3
2045,battery_gen,2679503.88,e3
2016,battery_load,0,e3
2017,battery_load,0,e3
2018,battery_load,0,e3
2019,battery_load,0,e3
2020,battery_load,0,e3
2021,battery_load,0,e3
2022,battery_load,512825.46,e3
2023,battery_load,519701.27,e3
2024,battery_load,506007.82,e3
2025,battery_load,654388.47,e3
2026,battery_load,665459.64,e3
2027,battery_load,671572.76,e3
2028,battery_load,677043.41,e3
2029,battery_load,677957.49,e3
2030,battery_load,756491.62,e3
2031,battery_load,766432.72,e3
2032,battery_load,780916.17,e3
2033,battery_load,784919.01,e3
2034,battery_load,795533.34,e3
2035,battery_load,862115.14,e3
2036,battery_load,896586.9,e3
2037,battery_load,909739.01,e3
2038,battery_load,953112.66,e3
2039,battery_load,963458.98,e3
2040,battery_load,1338081.99,e3
2041,battery_load,1408809.69,e3
2042,battery_load,1375888.11,e3
2043,battery_load,1402143.16,e3
2044,battery_load,1429624.7,e3
2045,battery_load,3052353.9,e3
2016,bio,413843.96,e3
2017,bio,426632.61,e3
2018,bio,436839.49,e3
2019,bio,455020.21,e3
2020,bio,435852.02,e3
2021,bio,448548.01,e3
2022,bio,506410.4,e3
2023,bio,532019.25,e3
2024,bio,512190.16,e3
2025,bio,502954.7,e3
2026,bio,501592.28,e3
2027,bio,501345.3,e3
2028,bio,500995.33,e3
2029,bio,498814.92,e3
2030,bio,493626.83,e3
2031,bio,497320.73,e3
2032,bio,502970.58,e3
2033,bio,501034.42,e3
2034,bio,499970.16,e3
2035,bio,505413.85,e3
2036,bio,504610.99,e3
2037,bio,508710.78,e3
2038,bio,509094.84,e3
2039,bio,510645.31,e3
2040,bio,497781.59,e3
2041,bio,496283.02,e3
2042,bio,494298.35,e3
2043,bio,496876.34,e3
2044,bio,495228.64,e3
2045,bio,741534.27,e3
2016,DER,688576.11,e3
2017,DER,810304.55,e3
2018,DER,876663.9,e3
2019,DER,950109.15,e3
2020,DER,1018121.75,e3
2021,DER,1105014.34,e3
2022,DER,1150154.56,e3
2023,DER,1235791.53,e3
2024,DER,1339005.41,e3
2025,DER,1434900.73,e3
2026,DER,1534460.73,e3
2027,DER,1634010.16,e3
2028,DER,1738341.13,e3
2029,DER,1833110.59,e3
2030,DER,1932686.1,e3
2031,DER,2032236.2,e3
2032,DER,2137687.08,e3
2033,DER,2231334.66,e3
2034,DER,2330895.78,e3
2035,DER,2430445.43,e3
2036,DER,2537025.97,e3
2037,DER,2629575.04,e3
2038,DER,2729123.82,e3
2039,DER,2828679.48,e3
2040,DER,2936299.35,e3
2041,DER,3027789.61,e3
2042,DER,3127339.96,e3
2043,DER,3226884.75,e3
2044,DER,3335649.25,e3
2045,DER,3425677.44,e3
2016,fossil,6277693.1,e3
2017,fossil,6191494.04,e3
2018,fossil,5864511.8,e3
2019,fossil,5806569.9,e3
2020,fossil,5379583.01,e3
2021,fossil,5269541.92,e3
2022,fossil,5062957.06,e3
2023,fossil,4919997.3,e3
2024,fossil,4820781.25,e3
2025,fossil,3291008.88,e3
2026,fossil,3178405.18,e3
2027,fossil,3064651.3,e3
2028,fossil,2966763.29,e3
2029,fossil,2818690.38,e3
2030,fossil,2709436.56,e3
2031,fossil,2632636.96,e3
2032,fossil,2626216.64,e3
2033,fossil,2594213.27,e3
2034,fossil,2582957.39,e3
2035,fossil,2566488.57,e3
2036,fossil,2574745.59,e3
2037,fossil,2547610.84,e3
2038,fossil,2550007.33,e3
2039,fossil,2541734.53,e3
2040,fossil,2042407.87,e3
2041,fossil,2039125.59,e3
2042,fossil,2035157.78,e3
2043,fossil,2022068.73,e3
2044,fossil,2032905.36,e3
2045,fossil,0,e3
2016,PV,22183.4,e3
2017,PV,114350.53,e3
2018,PV,414146.02,e3
2019,PV,460670.63,e3
2020,PV,835983.21,e3
2021,PV,822327.24,e3
2022,PV,933730.47,e3
2023,PV,933348.33,e3
2024,PV,933113.39,e3
2025,PV,1361993.34,e3
2026,PV,1361679.66,e3
2027,PV,1360795.2,e3
2028,PV,1360114.71,e3
2029,PV,1359184.15,e3
2030,PV,1360027.38,e3
2031,PV,1359106.25,e3
2032,PV,1358026.39,e3
2033,PV,1357657.99,e3
2034,PV,1356273.4,e3
2035,PV,1357882.42,e3
2036,PV,1356187.53,e3
2037,PV,1356618.76,e3
2038,PV,1354099.11,e3
2039,PV,1353049.73,e3
2040,PV,1932373.83,e3
2041,PV,1922230.58,e3
2042,PV,1916392.31,e3
2043,PV,1915119.17,e3
2044,PV,1910945.06,e3
2045,PV,3974148.37,e3
2016,Wind_off,0,e3
